AvgSpeed,CodeSum,Cool,Date,Depart,DewPoint,Heat,PrecipTotal,ResultDir,ResultSpeed,SeaLevel,Station,StnPressure,Sunrise,Sunset,Tavg,Tmax,Tmin,WetBulb
9.2, ,2,2007-05-01,14,51,0,0.0,27,1.7,29.82,1,29.1,448,1849,67,83,50,56
9.6, ,3,2007-05-01,15,51,0,0.0,25,2.7,29.82,2,29.18,448,1849,68,84,52,57
13.4,BR,0,2007-05-02,-3,42,14,0.0,4,13.0,30.09,1,29.38,447,1850,51,59,42,47
13.4,BR HZ,0,2007-05-02,-2,42,13,0.0,2,13.3,30.08,2,29.44,447,1850,52,60,43,47
11.9, ,0,2007-05-03,2,40,9,0.0,7,11.7,30.12,1,29.39,446,1851,56,66,46,48
13.2,HZ,0,2007-05-03,4,40,7,0.0,6,12.9,30.12,2,29.46,446,1851,58,67,48,50
10.8,RA,0,2007-05-04,4,41,7,0.01,8,10.4,30.05,1,29.31,444,1852,58,66,49,50
10.4, ,0,2007-05-04,10,42,1,0.0,7,10.1,30.04,2,29.36,444,1852,64,78,51,50
12.0, ,0,2007-05-05,5,38,5,0.01,7,11.7,30.1,1,29.4,443,1853,60,66,53,49
11.5, ,0,2007-05-05,5,39,5,0.01,7,11.2,30.09,2,29.46,443,1853,60,66,54,50
15.0, ,0,2007-05-06,4,30,6,0.0,11,14.4,30.29,1,29.57,442,1855,59,68,49,46
14.5, ,0,2007-05-06,5,30,5,0.0,10,13.8,30.28,2,29.62,442,1855,60,68,52,46
10.5,RA,0,2007-05-07,10,41,0,0.01,18,8.6,30.12,1,29.38,441,1856,65,83,47,54
9.9, ,2,2007-05-07,12,39,0,0.0,17,8.5,30.12,2,29.44,441,1856,67,84,50,53
5.8,BR,3,2007-05-08,12,58,0,0.0,11,2.7,30.03,1,29.29,439,1857,68,82,54,62
5.4,HZ,5,2007-05-08,14,57,0,0.01,8,2.5,30.02,2,29.36,439,1857,70,80,60,63
6.2,BR HZ,4,2007-05-09,13,59,0,0.13,9,3.9,29.94,1,29.21,438,1858,69,77,61,63
